x,y,z,ri,n_ok,n_total,down
0.005000,-0.625000,-0.045000,0.1667,4,24,0
0.005000,-0.625000,-0.035000,0.1250,3,24,0
0.005000,-0.625000,-0.025000,0.2083,5,24,0
0.005000,-0.625000,-0.015000,0.2083,5,24,0
0.005000,-0.625000,-0.005000,0.2500,6,24,0
0.005000,-0.625000,0.005000,0.1667,4,24,0
0.005000,-0.625000,0.015000,0.2083,5,24,0
0.005000,-0.625000,0.025000,0.2083,5,24,0
0.005000,-0.625000,0.035000,0.1667,4,24,0
0.005000,-0.625000,0.045000,0.2500,6,24,0
0.005000,-0.625000,0.055000,0.2500,6,24,0
0.005000,-0.615000,-0.045000,0.0833,2,24,0
0.005000,-0.615000,-0.035000,0.2500,6,24,0
0.005000,-0.615000,-0.025000,0.2500,6,24,0
0.005000,-0.615000,-0.015000,0.2500,6,24,0
0.005000,-0.615000,-0.005000,0.1667,4,24,0
0.005000,-0.615000,0.005000,0.2083,5,24,0
0.005000,-0.615000,0.015000,0.2500,6,24,0
0.005000,-0.615000,0.025000,0.1250,3,24,0
0.005000,-0.615000,0.035000,0.2500,6,24,0
0.005000,-0.615000,0.045000,0.2083,5,24,0
0.005000,-0.615000,0.055000,0.2500,6,24,0
0.005000,-0.605000,-0.045000,0.1667,4,24,0
0.005000,-0.605000,-0.035000,0.1667,4,24,0
0.005000,-0.605000,-0.025000,0.2083,5,24,0
0.005000,-0.605000,-0.015000,0.1667,4,24,0
0.005000,-0.605000,-0.005000,0.1250,3,24,0
0.005000,-0.605000,0.005000,0.1667,4,24,0
0.005000,-0.605000,0.015000,0.2083,5,24,0
0.005000,-0.605000,0.025000,0.2083,5,24,0
0.005000,-0.605000,0.035000,0.1250,3,24,0
0.005000,-0.605000,0.045000,0.1250,3,24,0
0.005000,-0.605000,0.055000,0.2500,6,24,0
0.005000,-0.595000,-0.045000,0.1250,3,24,0
0.005000,-0.595000,-0.035000,0.1667,4,24,0
0.005000,-0.595000,-0.025000,0.2083,5,24,0
0.005000,-0.595000,-0.015000,0.2083,5,24,0
0.005000,-0.595000,-0.005000,0.2083,5,24,0
0.005000,-0.595000,0.005000,0.2083,5,24,0
0.005000,-0.595000,0.015000,0.1250,3,24,0
0.005000,-0.595000,0.025000,0.2500,6,24,0
0.005000,-0.595000,0.035000,0.1667,4,24,0
0.005000,-0.595000,0.045000,0.2083,5,24,0
0.005000,-0.595000,0.055000,0.1250,3,24,0
0.005000,-0.585000,-0.045000,0.1250,3,24,0
0.005000,-0.585000,-0.035000,0.1250,3,24,0
0.005000,-0.585000,-0.025000,0.1667,4,24,0
0.005000,-0.585000,-0.015000,0.1667,4,24,0
0.005000,-0.585000,-0.005000,0.2083,5,24,0
0.005000,-0.585000,0.005000,0.1667,4,24,0
0.005000,-0.585000,0.015000,0.1250,3,24,0
0.005000,-0.585000,0.025000,0.1250,3,24,0
0.005000,-0.585000,0.035000,0.2083,5,24,0
0.005000,-0.585000,0.045000,0.2500,6,24,0
0.005000,-0.585000,0.055000,0.3333,8,24,0
0.005000,-0.575000,-0.045000,0.1250,3,24,0
0.005000,-0.575000,-0.035000,0.0833,2,24,0
0.005000,-0.575000,-0.025000,0.0000,0,24,0
0.005000,-0.575000,-0.015000,0.2083,5,24,0
0.005000,-0.575000,-0.005000,0.2500,6,24,0
0.005000,-0.575000,0.005000,0.2500,6,24,0
0.005000,-0.575000,0.015000,0.2500,6,24,0
0.005000,-0.575000,0.025000,0.2917,7,24,0
0.005000,-0.575000,0.035000,0.2083,5,24,0
0.005000,-0.575000,0.045000,0.2500,6,24,0
0.005000,-0.575000,0.055000,0.3333,8,24,0
0.005000,-0.565000,-0.045000,0.1667,4,24,0
0.005000,-0.565000,-0.035000,0.1250,3,24,0
0.005000,-0.565000,-0.025000,0.1250,3,24,0
0.005000,-0.565000,-0.015000,0.1667,4,24,0
0.005000,-0.565000,-0.005000,0.2917,7,24,0
0.005000,-0.565000,0.005000,0.2083,5,24,0
0.005000,-0.565000,0.015000,0.2917,7,24,0
0.005000,-0.565000,0.025000,0.2917,7,24,0
0.005000,-0.565000,0.035000,0.2917,7,24,0
0.005000,-0.565000,0.045000,0.3333,8,24,0
0.005000,-0.565000,0.055000,0.2083,5,24,0
0.005000,-0.555000,-0.045000,0.0833,2,24,0
0.005000,-0.555000,-0.035000,0.1667,4,24,0
0.005000,-0.555000,-0.025000,0.1250,3,24,0
0.005000,-0.555000,-0.015000,0.1250,3,24,0
0.005000,-0.555000,-0.005000,0.1667,4,24,0
0.005000,-0.555000,0.005000,0.2917,7,24,0
0.005000,-0.555000,0.015000,0.2500,6,24,0
0.005000,-0.555000,0.025000,0.2917,7,24,0
0.005000,-0.555000,0.035000,0.2917,7,24,0
0.005000,-0.555000,0.045000,0.2917,7,24,0
0.005000,-0.555000,0.055000,0.2500,6,24,0
0.005000,-0.545000,-0.045000,0.1250,3,24,0
0.005000,-0.545000,-0.035000,0.0417,1,24,0
0.005000,-0.545000,-0.025000,0.1250,3,24,0
0.005000,-0.545000,-0.015000,0.1250,3,24,0
0.005000,-0.545000,-0.005000,0.1250,3,24,0
0.005000,-0.545000,0.005000,0.2083,5,24,0
0.005000,-0.545000,0.015000,0.2500,6,24,0
0.005000,-0.545000,0.025000,0.2500,6,24,0
0.005000,-0.545000,0.035000,0.2917,7,24,0
0.005000,-0.545000,0.045000,0.2917,7,24,0
0.005000,-0.545000,0.055000,0.2500,6,24,0
0.005000,-0.535000,-0.045000,0.1250,3,24,0
0.005000,-0.535000,-0.035000,0.1250,3,24,0
0.005000,-0.535000,-0.025000,0.1667,4,24,0
0.005000,-0.535000,-0.015000,0.1250,3,24,0
0.005000,-0.535000,-0.005000,0.0000,0,24,0
0.005000,-0.535000,0.005000,0.2083,5,24,0
0.005000,-0.535000,0.015000,0.2917,7,24,0
0.005000,-0.535000,0.025000,0.2083,5,24,0
0.005000,-0.535000,0.035000,0.2917,7,24,0
0.005000,-0.535000,0.045000,0.3333,8,24,0
0.005000,-0.535000,0.055000,0.2917,7,24,0
0.005000,-0.525000,-0.045000,0.1667,4,24,0
0.005000,-0.525000,-0.035000,0.1250,3,24,0
0.005000,-0.525000,-0.025000,0.1667,4,24,0
0.005000,-0.525000,-0.015000,0.1667,4,24,0
0.005000,-0.525000,-0.005000,0.0833,2,24,0
0.005000,-0.525000,0.005000,0.1250,3,24,0
